"Name","Artist","Album","URL"
"I'm Too Sexy","Right Said Fred","Up",
"bad guy","Billie Eilish","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",
"Walang Kadala Dala","Sandwich","Walang Kadaladala",
"Disconnection Notice","Pupil","Wildlife Special Edition",
"Procrastinator","Sandwich","S Marks the Spot",
"Sunburn","Sandwich","Sunburn",
"Sugod","Sandwich","Five on the Floor",
"Butterfly Carnival","Sandwich","Grip Stand Throw",
"Betamax","Sandwich","S Marks the Spot",
"2 Trick Pony","Sandwich","Thanks to the Moon's Gravitational Pull",
"Touch","KATSEYE","Touch",
"Espresso","Sabrina Carpenter","Espresso",
"Bed Chem","Sabrina Carpenter","Short n' Sweet",
"Die With A Smile","Lady Gaga","Die With A Smile",
"Good Luck, Babe!","Chappell Roan","Good Luck, Babe!",
"Cherish (My Love)","ILLIT","I'LL LIKE YOU",
"Please Please Please","Sabrina Carpenter","Please Please Please",
"Not Like Us","Kendrick Lamar","Not Like Us",
"Strategy (feat. Megan Thee Stallion)","TWICE","STRATEGY",
"Killin’ Me Good","JIHYO","ZONE",
